IDPlans,Department,Title,Amount,Detail,UseForUnit,PlanName,WorkName,BudgetName,BudgetType,EmpCatagory,GroupType,Year,PSUPassport,FileUpload
5,งานอาคารสถานที่และยานพาหนะ,ค่าตอบแทนพนักงานขับรถ,15000,"สำหรับจ่ายให้พนักงานขับรถกรณีขับรถนอกเวลาราชการ จำนวน 12 เดือนๆละ 1,250 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าตอบแทน,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
6,งานอาคารสถานที่และยานพาหนะ,ค่าตอบแทนพนักงานรักษาความปลอดภัย,48000,"สำหรับจ่ายให้ รปภ. กรณีทำงานนอกเวลาราชการ จำนวน 2 คน และจำนวน 12 เดือนๆ 4,000 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าตอบแทน,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
7,งานอาคารสถานที่และยานพาหนะ,เงินช่วยเหลือค่าอาหารพนักงานขับรถ,3000,เพื่อเป็นค่าสมนาคุณพนักงานขับรถตามระเบียบฯ กรณีไม่สามารถเบิกค่าล่วงเวลาได้ และสำหรับพนักงานขับรถของคณะฯ และของมหาวิทยาลัย,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
8,งานพัสดุ,ค่าเช่า,65000,"- เพื่อเป็นค่าใช้จ่ายในการใช้ห้องของคณะอื่นๆ (สอบถามรายวิชาจากงานบริการการศึกษา) จำนวน 5,000 บาท - ค่าเช่าครุภัณฑ์ เครื่องถ่ายเอกสาร เดือนละ 5,000 บาท จำนวน 12 เดือน รวม 60,000 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
9,งานพัสดุ,ค่าจ้างเหมาบริการ,793634,"- ค่าจ้างเหมาบริการแม่บ้านทำความสะอาดประจำปีงบประมาณ 2564 จำนวน 550,000 บาท - ค่าบำรุงรักษาครุภัณฑ์ เฉพาะค่าเครื่อปรับอากาศประจำปีจำนวน 100,000 บาท - ค่าดูแลรักษาลิฟต์แบบรวมอะไหล่ (โคเน่) เดือนละ 7,195.75 จำนวน 12 เดือน รวม 86,349 บาท - ค่าดูแลรักษาลิฟต์แบบไม่รวมอะไหล่ (ไพโอเนีย) เดือนละ 2,273.75 บาท จำนวน 12 เดือน รวม 27,285 บาท - ค่าดูแลสวนหย่อมคณะเศรษฐศาสตร์ประจำเดือน เดือนละ 2,500 บาท จำนวน 12 เดือน รวม 30,000 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
10,งานพัสดุ,ค่าซ่อมแซมครุภัณฑ์,70000,เพื่อเป็นค่าใช้จ่ายในการซ่อมแซมครุภัณฑ์ที่ติดกับตัวอาคาร ครุภัณทั่วไป แต่ไม่รวมค่าซ่อมครุภัณฑ์คอมพิวเตอร์และงานโสตฯ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
11,งานพัสดุ,ค่าบริการเคเบิลทีวี,2400,ค่าใช้จ่ายรายเดือน เคเบิลรายเดือนๆละ 200 บาท จำนวน 12 เดือน,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
12,งานอาคารสถานที่และยานพาหนะ,ค่าใช้จ่ายรถราชการคณะเศรษฐศาสตร์,35000,ค่าเบี้ยประกันภัยชั้น 1 รถตู้และค่าใช้จ่ายในการเช็คระยะและถ่ายน้ำมันเครื่องประจำรอบ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
13,งานพัสดุ,ค่าวัสดุ,100000,ค่าวัสดุกรณีวัสดุสำนักงาน ค่าน้ำมันเชื้อเพลิง วัสดุงานบ้านงานครัว เวชภัณฑ์ยา และวัสดุอื่นๆ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
14,งานพัสดุ,ผ้าม่าน และม่านปรับแสง,20000,สำหรับห้องพักอาจารย์-เจ้าหน้าที่ ชั้น 5-7,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายลงทุน,งบลงทุน,ค่าครุภัณฑ์,ไม่ต้องจับกลุ่ม group,2020,thanita.s,
